Link,Num_Units,Service_Time,Service_Dist
12462,5,1488.5875926306462,325.79968236910645
12519,7,2188.284963227865,1798.960415028152
13033,2,779.529642801393,399.1706043902086
12539,19,5275.652190328141,3189.4424921422033
11925,5,1839.8158450079286,2680.9287774335826
8794,2,806.9420541332418,582.982034867513
9654,1,1136.5476386346031,1183.8241303169634
13231,12,3548.9695475988397,2876.41627804318
10352,1,1051.8294829102622,615.754243922187
13051,6,1896.6101038593863,1452.4593463973142
13384,25,6652.434652670016,2765.5430442781653
10256,6,2008.3632797167043,2201.8101009166567
9884,1,1023.8027827780674,427.823755776044
9628,14,3942.4176437190067,2296.0503602079116
87430,20,5268.015957796053,1528.9402623785427
11440,3,1008.2292495890545,323.39684570219833
11904,7,2225.107760774503,2045.872334205429
8786,5,1685.5231758303896,1646.3333202752983
9629,24,6650.275597457077,4360.3638631453505
85275,8,2604.689893752342,2981.827629094827
11146,13,3611.3226489399894,1685.2211596333655
10595,8,2403.514653573313,1632.8653569958406
12578,3,1183.8089822054835,1500.7307702647522
12807,10,2900.448083119223,1746.4109283810249
9389,6,1958.118576784619,1864.8988161686575
